
 PRINT S    NODAL SOLUTION PER NODE
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      68   0.183727E-001 -0.343541E-002 -0.182160E-002 -0.258409E-002 -0.199673E-002  0.226707E-004
      69   0.183640      -0.476082E-002 -0.141546E-002  0.186678E-001 -0.101418E-002  0.938928E-002
      70   0.446562      -0.329210E-003 -0.122182E-002  0.202880E-001 -0.116300E-002  0.172480E-001
      71   0.728285       0.223473E-002  0.142040E-002  0.178072E-001  0.136728E-002  0.138786E-001
      72   0.933136       0.568211E-002  0.212389E-002  0.148959E-001  0.157742E-002  0.840762E-002
      73    1.01856       0.670992E-002  0.213076E-002  0.523256E-002  0.107377E-002  0.193337E-002
      74   0.938102       0.681968E-002  0.184189E-002 -0.102806E-001  0.166414E-002 -0.875585E-002
      75   0.726659       0.356433E-002  0.139930E-002 -0.226196E-001  0.411116E-003 -0.141184E-001
      76   0.452380      -0.230355E-003 -0.647695E-003 -0.260804E-001 -0.274693E-003 -0.133688E-001
      77   0.192069      -0.575169E-002 -0.368762E-003 -0.202012E-001 -0.873488E-003 -0.713056E-002
      78   0.923934E-002 -0.268060E-002 -0.428871E-002  0.223964E-002 -0.925654E-003 -0.112480E-002
      79   0.849215        7.36199       0.273134       0.989522      -0.179114      -0.130620     
      80   0.171857E-001   2.88599       0.884907E-002  -1.01064      -0.333105       0.243561     
      81   -1.52061      -0.203784E-001 -0.132892      -0.255240E-001 -0.105436E-001  0.227852     
      82   -1.63474      -0.193090      -0.122728      -0.298288      -0.714637E-002 -0.295961     
      83   0.119296        2.57531      -0.398175E-001  0.981625      -0.367345      -0.298649     
      84   0.700669        7.48611       0.287272      -0.990237      -0.168117       0.193194     
      85    2.44315       0.761590       0.268829       -3.82340       0.708691      -0.426220     
      86   -2.53769       -6.15248      -0.360373      -0.461420       0.173347E-001 -0.585878     
      87   -2.01140       -6.08214      -0.348328       0.769286       0.166341E-001  0.682222     
      88    1.47563        2.00530       0.166532        3.26318       0.737106       0.360095     
      89   0.930565        2.74260        1.09052       0.621474       -1.59142      -0.742397     
      90   0.827910        2.65367       0.996171      -0.580510       -1.51324       0.716614     
      91   0.936378        2.49870       0.528506       0.445542       -1.37150      -0.540394     
      92   0.800006        1.89611       0.559505       0.245388       -1.15620      -0.331137     
      93   0.897721        2.12285       0.638007       0.178920       -1.30051      -0.200046     
      94   0.871227        1.97284       0.598137       0.817106E-001  -1.19463      -0.164247     
      95   0.869065        1.92900       0.596034       0.571667E-001  -1.22672      -0.505780E-001
      96   0.891242        1.96222       0.673803      -0.695749E-002  -1.19084       0.113471E-001
      97   0.835526        1.78459       0.645287      -0.787087E-001  -1.10187       0.379532E-001
      98   0.805906        1.78674       0.616278      -0.865482E-001  -1.07231       0.129378     
      99   0.821648        1.89431       0.548326      -0.174845       -1.11371       0.219433     
     100   0.791144        1.88600       0.519827      -0.254998       -1.11183       0.324130     
     101   0.867316        2.06472       0.563787      -0.381576       -1.34128       0.537575     
     102  -0.130796E-001 -0.141521E-001  0.721145E-002 -0.175992E-001 -0.218075E-002  0.204073E-002
     103  -0.970078E-001   1.86161      -0.865256E-001 -0.589996E-001 -0.128984       0.435839E-001
     104  -0.506784E-002   1.41374      -0.141274E-001 -0.133525E-001  0.456084E-002 -0.161031E-002
     105  -0.299111E-002   1.46324      -0.862023E-002 -0.646266E-002  0.471333E-002  0.401104E-003
     106   0.284901E-004   1.52829      -0.127472E-002 -0.591916E-002  0.169395E-003  0.808409E-003
     107   0.234997E-002   1.59748      -0.237817E-003 -0.800450E-002 -0.250080E-002  0.165816E-003
     108   0.440109E-002   1.64870       0.554530E-003 -0.877599E-002 -0.354047E-002  0.520035E-003
     109   0.343930E-002   1.66524       0.448196E-003 -0.648612E-003 -0.131570E-002  0.133206E-002
     110   0.603159E-002   1.61178       0.128215E-002  0.578588E-002  0.520427E-002  0.107476E-002
     111   0.405652E-002   1.44550       0.178651E-002  0.176209E-001  0.173876E-001  0.790376E-003
     112   0.192016E-003   1.12551      -0.117309E-003  0.328170E-001  0.230830E-001  0.167930E-002
     113  -0.974436E-002  0.754193       0.130754E-002  0.465656E-001  0.250839E-001 -0.184284E-002
     114  -0.148651E-001  0.477311      -0.718135E-002  0.203895E-001  0.811364E-002 -0.168189E-002
     115  -0.742264E-002  0.457960       0.265551E-002 -0.397969E-001 -0.210293E-001 -0.373974E-002
     116   0.250964E-002  0.700054       0.281276E-002 -0.556067E-001 -0.343111E-001  0.492591E-004
     117   0.898536E-002  0.960583       0.719539E-002 -0.462468E-001 -0.298829E-001  0.171726E-002
     118   0.129530E-001   1.06446       0.384244E-002 -0.160840E-001 -0.119114E-001  0.299719E-002
     119   0.101284E-001  0.954620       0.399491E-002  0.847982E-002  0.459736E-002  0.211103E-002
     120   0.116925E-003  0.712044      -0.122802E-002  0.221470E-001  0.111332E-001  0.488831E-003
     121  -0.115664E-002  0.427020      -0.105580E-003  0.167005E-001  0.114391E-001 -0.344387E-003
     122  -0.585814E-002  0.168387      -0.135962E-002  0.184530E-001  0.972517E-002 -0.340633E-003
     123  -0.265219E-002  0.124891E-001 -0.385197E-002 -0.112257E-002 -0.507255E-005 -0.175374E-002
     124  -0.172235E-001 -0.148250E-001  0.510567E-002  0.203114E-001 -0.562009E-003 -0.209547E-002
     125   0.224772E-001 -0.276282E-002 -0.224769E-002 -0.219148E-002  0.214389E-002  0.119905E-002
     126   0.177180      -0.467828E-002 -0.177391E-002  0.171056E-001  0.358539E-003 -0.989328E-002
     127   0.450761       0.108009E-002 -0.243562E-002  0.260272E-001 -0.521849E-003 -0.151239E-001
     128   0.726708       0.245618E-002  0.300568E-002  0.217209E-001 -0.841454E-003 -0.140318E-001
     129   0.938300       0.623922E-002  0.132452E-002  0.801108E-002 -0.344022E-003 -0.949768E-002
     130    1.01613       0.929514E-002  0.163996E-002 -0.254331E-002 -0.142500E-002 -0.473694E-003
     131   0.937288       0.838414E-002  0.231447E-002 -0.179421E-001 -0.271119E-003  0.664727E-002
     132   0.730601       0.499931E-002  0.436675E-003 -0.260391E-001  0.443844E-003  0.122648E-001
