
 LIST ALL SELECTED NODES.   DSYS=      0

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R1          25.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:29:48  JUL 18, 2025 CP=      0.516

 full_plate--Static Structural (A5)                                            



   NODE        X                   Y                   Z
        1    6.00000000000        -68.0000000000         7.00000000000     
        2    4.85410196600        -64.4732884900         7.00000000000     
        3    1.85410196600        -62.2936609000         7.00000000000     
        4   -1.85410196600        -62.2936609000         7.00000000000     
        5   -4.85410196600        -64.4732884900         7.00000000000     
        6   -6.00000000000        -68.0000000000         7.00000000000     
        7   -4.85410196600        -71.5267115100         7.00000000000     
        8   -1.85410196600        -73.7063391000         7.00000000000     
        9    1.85410196600        -73.7063391000         7.00000000000     
       10    4.85410196600        -71.5267115100         7.00000000000     
       11    24.0000000000        -20.0000000000         7.00000000000     
       12    24.0000000000        -105.000000000         7.00000000000     
       13    24.0000000000        -23.8636363600         7.00000000000     
       14    24.0000000000        -27.7272727300         7.00000000000     
       15    24.0000000000        -31.5909090900         7.00000000000     
       16    24.0000000000        -35.4545454500         7.00000000000     
       17    24.0000000000        -39.3181818200         7.00000000000     
       18    24.0000000000        -43.1818181800         7.00000000000     
       19    24.0000000000        -47.0454545500         7.00000000000     
       20    24.0000000000        -50.9090909100         7.00000000000     
       21    24.0000000000        -54.7727272700         7.00000000000     
       22    24.0000000000        -58.6363636400         7.00000000000     
       23    24.0000000000        -62.5000000000         7.00000000000     
       24    24.0000000000        -66.3636363600         7.00000000000     
       25    24.0000000000        -70.2272727300         7.00000000000     
       26    24.0000000000        -74.0909090900         7.00000000000     
       27    24.0000000000        -77.9545454500         7.00000000000     
       28    24.0000000000        -81.8181818200         7.00000000000     
       29    24.0000000000        -85.6818181800         7.00000000000     
       30    24.0000000000        -89.5454545500         7.00000000000     
       31    24.0000000000        -93.4090909100         7.00000000000     
       32    24.0000000000        -97.2727272700         7.00000000000     
       33    24.0000000000        -101.136363600         7.00000000000     
       34   -24.0000000000        -20.0000000000         7.00000000000     
       35    20.0000000000        -20.0000000000         7.00000000000     
       36    16.0000000000        -20.0000000000         7.00000000000     
       37    12.0000000000        -20.0000000000         7.00000000000     
       38    8.00000000000        -20.0000000000         7.00000000000     
       39    4.00000000000        -20.0000000000         7.00000000000     
       40    0.00000000000        -20.0000000000         7.00000000000     
       41   -4.00000000000        -20.0000000000         7.00000000000     
       42   -8.00000000000        -20.0000000000         7.00000000000     
       43   -12.0000000000        -20.0000000000         7.00000000000     
       44   -16.0000000000        -20.0000000000         7.00000000000     
       45   -20.0000000000        -20.0000000000         7.00000000000     
       46   -24.0000000000        -105.000000000         7.00000000000     
       47   -24.0000000000        -23.8636363600         7.00000000000     
       48   -24.0000000000        -27.7272727300         7.00000000000     
       49   -24.0000000000        -31.5909090900         7.00000000000     
       50   -24.0000000000        -35.4545454500         7.00000000000     
       51   -24.0000000000        -39.3181818200         7.00000000000     
       52   -24.0000000000        -43.1818181800         7.00000000000     
       53   -24.0000000000        -47.0454545500         7.00000000000     
       54   -24.0000000000        -50.9090909100         7.00000000000     
       55   -24.0000000000        -54.7727272700         7.00000000000     
       56   -24.0000000000        -58.6363636400         7.00000000000     
       57   -24.0000000000        -62.5000000000         7.00000000000     
       58   -24.0000000000        -66.3636363600         7.00000000000     
       59   -24.0000000000        -70.2272727300         7.00000000000     
       60   -24.0000000000        -74.0909090900         7.00000000000     
       61   -24.0000000000        -77.9545454500         7.00000000000     
       62   -24.0000000000        -81.8181818200         7.00000000000     
       63   -24.0000000000        -85.6818181800         7.00000000000     
       64   -24.0000000000        -89.5454545500         7.00000000000     
       65   -24.0000000000        -93.4090909100         7.00000000000     
       66   -24.0000000000        -97.2727272700         7.00000000000     
       67   -24.0000000000        -101.136363600         7.00000000000     
       68    20.0000000000        -105.000000000         7.00000000000     
       69    16.0000000000        -105.000000000         7.00000000000     
       70    12.0000000000        -105.000000000         7.00000000000     
       71    8.00000000000        -105.000000000         7.00000000000     
       72    4.00000000000        -105.000000000         7.00000000000     
       73    0.00000000000        -105.000000000         7.00000000000     
       74   -4.00000000000        -105.000000000         7.00000000000     
       75   -8.00000000000        -105.000000000         7.00000000000     
       76   -12.0000000000        -105.000000000         7.00000000000     
       77   -16.0000000000        -105.000000000         7.00000000000     
       78   -20.0000000000        -105.000000000         7.00000000000     
       79    6.00000000000        -68.0000000000        -7.00000000000     
       80    4.85410196600        -64.4732884900        -7.00000000000     
       81    1.85410196600        -62.2936609000        -7.00000000000     
       82   -1.85410196600        -62.2936609000        -7.00000000000     
       83   -4.85410196600        -64.4732884900        -7.00000000000     
       84   -6.00000000000        -68.0000000000        -7.00000000000     
       85   -4.85410196600        -71.5267115100        -7.00000000000     
       86   -1.85410196600        -73.7063391000        -7.00000000000     
       87    1.85410196600        -73.7063391000        -7.00000000000     
       88    4.85410196600        -71.5267115100        -7.00000000000     
       89    24.0000000000        -20.0000000000        -7.00000000000     
       90   -24.0000000000        -20.0000000000        -7.00000000000     
       91    20.0000000000        -20.0000000000        -7.00000000000     
       92    16.0000000000        -20.0000000000        -7.00000000000     
       93    12.0000000000        -20.0000000000        -7.00000000000     
       94    8.00000000000        -20.0000000000        -7.00000000000     
       95    4.00000000000        -20.0000000000        -7.00000000000     
       96    0.00000000000        -20.0000000000        -7.00000000000     
       97   -4.00000000000        -20.0000000000        -7.00000000000     
       98   -8.00000000000        -20.0000000000        -7.00000000000     
       99   -12.0000000000        -20.0000000000        -7.00000000000     
      100   -16.0000000000        -20.0000000000        -7.00000000000     
      101   -20.0000000000        -20.0000000000        -7.00000000000     
      102    24.0000000000        -105.000000000        -7.00000000000     
      103    24.0000000000        -23.8636363600        -7.00000000000     
      104    24.0000000000        -27.7272727300        -7.00000000000     
      105    24.0000000000        -31.5909090900        -7.00000000000     
      106    24.0000000000        -35.4545454500        -7.00000000000     
      107    24.0000000000        -39.3181818200        -7.00000000000     
      108    24.0000000000        -43.1818181800        -7.00000000000     
      109    24.0000000000        -47.0454545500        -7.00000000000     
      110    24.0000000000        -50.9090909100        -7.00000000000     
      111    24.0000000000        -54.7727272700        -7.00000000000     
      112    24.0000000000        -58.6363636400        -7.00000000000     
      113    24.0000000000        -62.5000000000        -7.00000000000     
      114    24.0000000000        -66.3636363600        -7.00000000000     
      115    24.0000000000        -70.2272727300        -7.00000000000     
      116    24.0000000000        -74.0909090900        -7.00000000000     
      117    24.0000000000        -77.9545454500        -7.00000000000     
      118    24.0000000000        -81.8181818200        -7.00000000000     
      119    24.0000000000        -85.6818181800        -7.00000000000     
      120    24.0000000000        -89.5454545500        -7.00000000000     
      121    24.0000000000        -93.4090909100        -7.00000000000     
      122    24.0000000000        -97.2727272700        -7.00000000000     
      123    24.0000000000        -101.136363600        -7.00000000000     
      124   -24.0000000000        -105.000000000        -7.00000000000     
      125    20.0000000000        -105.000000000        -7.00000000000     
      126    16.0000000000        -105.000000000        -7.00000000000     
      127    12.0000000000        -105.000000000        -7.00000000000     
      128    8.00000000000        -105.000000000        -7.00000000000     
      129    4.00000000000        -105.000000000        -7.00000000000     
      130    0.00000000000        -105.000000000        -7.00000000000     
      131   -4.00000000000        -105.000000000        -7.00000000000     
      132   -8.00000000000        -105.000000000        -7.00000000000     
      133   -12.0000000000        -105.000000000        -7.00000000000     
      134   -16.0000000000        -105.000000000        -7.00000000000     
      135   -20.0000000000        -105.000000000        -7.00000000000     
      136   -24.0000000000        -23.8636363600        -7.00000000000     
      137   -24.0000000000        -27.7272727300        -7.00000000000     
      138   -24.0000000000        -31.5909090900        -7.00000000000     
      139   -24.0000000000        -35.4545454500        -7.00000000000     
      140   -24.0000000000        -39.3181818200        -7.00000000000     
      141   -24.0000000000        -43.1818181800        -7.00000000000     
      142   -24.0000000000        -47.0454545500        -7.00000000000     
      143   -24.0000000000        -50.9090909100        -7.00000000000     
      144   -24.0000000000        -54.7727272700        -7.00000000000     
      145   -24.0000000000        -58.6363636400        -7.00000000000     
      146   -24.0000000000        -62.5000000000        -7.00000000000     
      147   -24.0000000000        -66.3636363600        -7.00000000000     
      148   -24.0000000000        -70.2272727300        -7.00000000000     
      149   -24.0000000000        -74.0909090900        -7.00000000000     
      150   -24.0000000000        -77.9545454500        -7.00000000000     
      151   -24.0000000000        -81.8181818200        -7.00000000000     
      152   -24.0000000000        -85.6818181800        -7.00000000000     
      153   -24.0000000000        -89.5454545500        -7.00000000000     
      154   -24.0000000000        -93.4090909100        -7.00000000000     
      155   -24.0000000000        -97.2727272700        -7.00000000000     
      156   -24.0000000000        -101.136363600        -7.00000000000     
      157    24.0000000000        0.138777878100E-013   -7.00000000000     
      158    24.0000000000        -4.00000000000        -7.00000000000     
      159    24.0000000000        -8.00000000000        -7.00000000000     
      160    24.0000000000        -12.0000000000        -7.00000000000     
      161    24.0000000000        -16.0000000000        -7.00000000000     
      162    24.0000000000        0.138777878100E-013    7.00000000000     
      163    24.0000000000        0.138777878100E-013    3.50000000000     
      164    24.0000000000        0.138777878100E-013    0.00000000000     
