Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
3979	-24.	-20.281	0.15236	
3985	-22.677	-20.682	1.0138	
4119	-24.	-20.96	3.6264	
4141	-24.	-18.853	1.7316	
4142	-22.675	-20.151	3.5843	
4143	-22.844	-18.665	4.0273	
4144	-22.677	-19.255	2.593	
4159	-24.	-19.196	-1.264	
4161	-22.509	-19.365	-0.38645	
4162	-22.677	-18.667	0.95778	
4171	-22.559	-19.335	-3.2592	
4174	-22.509	-20.296	-1.7469	
4371	24.	-20.868	1.7876	
4373	24.	-20.281	0.15236	
4380	22.262	-20.95	0.52594	
4511	24.	-20.96	3.6264	
4534	24.	-18.853	1.7316	
4536	22.486	-20.331	3.6971	
4537	22.262	-19.523	2.1052	
4552	24.	-19.196	-1.264	
4554	22.262	-18.936	0.46996	
4563	23.07	-19.227	-3.9284	
4564	22.877	-21.177	-3.4244	
4566	21.726	-21.086	-2.0319	
4567	22.262	-19.866	-0.89046	
4568	22.042	-19.526	-3.2175	
5881	9.86	-21.1	-5.5001	
6093	-2.0486	-20.792	-5.3652	
7285	14.301	-20.831	5.7107	
7991	11.358	-18.696	-5.475	
8050	2.4734	-18.829	-5.788	
8066	5.8674	-19.024	-5.3322	
8344	12.597	-18.753	5.1463	
8350	10.861	-18.811	5.1463	
8835	-21.519	-19.376	4.2447	
8836	-19.547	-19.399	3.8744	
8838	-19.708	-20.872	2.3974	
8840	-21.352	-19.965	2.8104	
8843	-0.1127	-19.851	3.1083	
8844	-1.5178	-19.443	2.1008	
8846	-3.272	-19.96	2.7542	
8847	-2.6123	-20.719	1.7057	
8848	-0.91024	-21.07	2.6702	
8850	-3.0575	-19.492	4.1568	
8880	3.262	-19.363	-4.2123	
8881	5.0823	-19.569	-3.7565	
8882	5.7734	-18.769	-2.0656	
8886	3.1274	-19.251	-2.5658	
8958	17.736	-20.328	3.5609	
8959	19.828	-19.949	3.7898	
8961	19.605	-19.14	2.1978	
8962	17.526	-19.477	2.1841	
9273	21.947	-20.278	-4.7283	
9311	20.919	-20.577	-4.0174	
9494	21.227	-19.54	4.1866	
9495	21.003	-18.732	2.5946	
9807	-21.229	-20.388	-3.8467	
9809	-19.321	-19.515	-3.5721	
9812	-21.067	-19.504	-2.3816	
9991	-13.59	-20.294	-1.8268	
9992	-15.692	-21.02	-3.2644	
9998	-12.21	-20.037	-3.5266	
9999	-13.815	-20.238	-4.0144	
10235	-11.464	-19.586	3.6326	
10399	14.238	-21.142	-3.7355	
10401	16.141	-20.78	-3.1682	
10747	8.0647	-20.426	3.3698	
10748	9.8513	-19.176	3.5804	
10749	7.5774	-18.745	1.7928	
10752	6.5608	-19.262	3.176	
10755	-3.145e-002	-19.669	-4.1532	
10758	-1.4308	-20.485	-3.7003	
10760	-3.2807	-20.692	-3.6666	
10762	-0.16599	-19.558	-2.5067	
10763	-2.7388	-19.716	-2.0921	
10765	-4.4122	-19.22	-3.2874	
